fs,qe
40.08158333,1.728902632
39.4640084,1.21580301
25.65119078,0.965216793
39.33505,1.411224098
35.84805972,1.284839961
45.48508876,1.704450826
44.18731884,1.723851923
45.6472,2.440658811
42.98030252,2.774591176
38.721332,1.222491154
39.59141883,2.1937475
42.1368919,1.273733793
46.59824886,2.843174319
49.05111579,3.890137202
54.11061973,1.661120056
38.46880647,1.103887119
32.0628338,0.838030701
33.97044266,1.312615745
8.545817875,0.257521711
10.91497247,0.271495015
13.28412706,0.28546832
15.65328165,0.299441625
9.070857369,0.313414929
10.4752806,0.327388234
11.87970383,0.337024683
13.28412706,0.364008554
15.65328165,0.364971293
15.73545134,0.378179224
12.91341891,0.328116233
18.76868052,0.455094915
11.86754437,0.470738401
11.72104129,0.941859056
8.317013819,0.379067
9.858041418,0.408182345
10.83082029,0.445189712
13.3430282,0.45385596
12.73640463,0.429136775
11.9984,0.461799267
12.12401337,0.430950373
8.193777182,0.411517695
10.58364443,0.461744752
7.153779077,0.391491452
7.613470636,0.397979669
7.898855313,0.459245061
8.48934417,0.409849284
9.503479452,0.44803837
9.544184068,0.457566357
8.845502769,0.465350856
10.45159269,0.477282122
11.12769364,0.471450609
10.61988747,0.488378921
9.852111948,0.483701548
10.09368661,0.503534377
10.38151175,0.518827237
11.19212941,0.543717122
10.51753276,0.542955775
9.99783,0.537982152
13.06268332,0.589949743
11.16557755,0.602848775
9.99783,0.572214698
12.33614793,0.629328232
10.33228252,0.623499828
10.33144675,0.608326268
10.40633836,0.591723252
11.9984,0.657712769
12.12591562,0.643679266
11.2271,0.651629
10.5153048,0.652322175
13.4102238,0.673118828
11.91305457,0.690946259
11.30805,0.69730193
11.6478882,0.687470965
12.6914238,0.71841898
15.0939547,0.800186467
14.48145,0.758011667
14.1478595,0.702148559
14.6595144,0.724203378
14.5287358,0.729020178
13.8601,0.739862305
14.6033,0.777317906
15.0410142,0.799070437
17.85029939,0.824020787
15.90684832,0.847548309
15.0749071,0.885925366
17.1240714,0.873834054
16.8958214,0.843136393
18.2,0.934454911
18.12148195,0.907535221
15.4934476,0.935968488
17.1126309,0.885151545
18.3524,0.921983521
18.84032867,0.975024783
17.4713071,0.95792207
17.6360214,0.944247114
16.7634716,0.945416379
17.0113192,0.934494581
19.528519,1.029339213
24.87706235,1.062253077
20.12283036,0.985686519
21.2971001,1.065233333
20.6050547,1.06613
26.4947048,1.090232915
19.4384926,1.061376261
28.36954201,1.156413966
20.0022,1.120138077
21.3711119,1.086721064
20.19025902,1.135960502
22.44935255,1.193346047
23.5046547,1.156100479
26.2903376,1.216971566
27.827072,1.299370852
27.454807,1.295628131
39.05382097,1.239009371
39.8687785,1.282258713
22.12573705,1.001756627
27.30278,1.199355926
23.0012,1.109316122
37.91695,1.697417059
26.84475275,1.154714662
42.41889695,1.389805714
39.51116979,1.369017087
26.10689888,1.104528185
29.35995066,1.391587083
39.77431271,1.8662
32.07946129,1.18477489
52.76658,1.786973548
51.4679933,1.540320286
60.04843455,3.607205789
63.9459507,2.538774737
64.91266491,3.034475263
61.94409615,2.63815
37.470194,1.380615
48.74168297,3.862688566
78.58348507,4.24032
46.14059225,1.341866667
72.64499032,1.29193
34.97206881,1.363663333
34.35357292,0.833764706
3.649640273,0.128665581
4.698526343,0.146757585
5.747412413,0.16484959
6.796298483,0.182941594
7.845184553,0.201033598
9.894070623,0.219125602
11.94295669,0.237217606
24.19441835,0.40196685
27.36653093,0.632335669
57.63727936,1.015514847
29.13206824,0.549109409
13.86329048,0.356583936
11.22288578,0.393727184
13.70792178,0.473609573
15.70027476,0.5852698
11.79081162,0.458677631
13.12676184,0.506477339
23.55768929,0.764943764
19.10583383,0.59319184
12.02296716,0.468517712
11.4945742,0.430907868
10.4995782,0.43479
10.7396902,0.417877892
11.8245,0.435752697
12.3627,0.487654557
10.6242428,0.405093602
10.6049357,0.43810912
10.9004786,0.471577532
11.9442542,0.485177341
12.7807472,0.517844583
13.3369144,0.500691245
12.8652976,0.517001074
12.4985,0.504781985
13.3275453,0.495069
11.8961453,0.46058258
11.5009716,0.450884088
11.0598214,0.409262438
11.5959096,0.359760601
10.7170524,0.357724459
10.55519281,0.402123174
14.268,0.522248658
11.6889405,0.543639335
12.0572284,0.552590535
13.8924524,0.529745331
12.2102524,0.604218874
13.0345882,0.629042407
13.7014048,0.681835009
16.46843107,0.710389194
15.6898,0.743835134
15.72790709,0.738865437
15.9069288,0.757805335
17.1592,0.782825714
15.6658643,0.779266997
16.8264572,0.769268757
15.51618312,0.75883509
18.9626144,0.870725652
20.1171,0.879257186
18.1003311,0.850332373
18.45661229,0.855042665
19.514638,0.895707052
18.5148716,0.857740671
19.4122,0.901803333
19.0212594,0.906061097
22.59934945,0.932195592
22.0891,0.933568378
20.03564336,0.906289362
19.1429738,0.918858498
19.65283087,0.918577751
22.2026332,0.991326243
