Test Points Classification Results
fs (kPa)        qE (MPa)        P(soil1)        P(soil2)        P(soil3)        P(soil4)        Max Prob Soil  
12.12           0.43            0.8324          0.1495          0.0181          0.0000          soil1          
8.19            0.41            0.8701          0.1179          0.0120          0.0000          soil1          
10.58           0.46            0.8522          0.1340          0.0138          0.0000          soil1          
7.15            0.39            0.8719          0.1161          0.0119          0.0000          soil1          
7.61            0.40            0.8710          0.1169          0.0120          0.0000          soil1          
7.90            0.46            0.8699          0.1192          0.0109          0.0000          soil1          
8.49            0.41            0.8680          0.1196          0.0124          0.0000          soil1          
9.50            0.45            0.8627          0.1248          0.0125          0.0000          soil1          
9.54            0.46            0.8614          0.1261          0.0124          0.0000          soil1          
8.85            0.47            0.8644          0.1239          0.0117          0.0000          soil1          
10.45           0.48            0.8504          0.1361          0.0136          0.0000          soil1          
11.13           0.47            0.8451          0.1402          0.0147          0.0000          soil1          
10.62           0.49            0.8455          0.1406          0.0139          0.0000          soil1          
9.85            0.48            0.8532          0.1340          0.0128          0.0000          soil1          
10.09           0.50            0.8433          0.1432          0.0135          0.0000          soil1          
10.38           0.52            0.8326          0.1531          0.0144          0.0000          soil1          
11.19           0.54            0.8067          0.1764          0.0169          0.0000          soil1          
10.52           0.54            0.8129          0.1712          0.0159          0.0000          soil1          
10.00           0.54            0.8208          0.1643          0.0149          0.0000          soil1          
13.06           0.59            0.7277          0.2467          0.0256          0.0000          soil1          
11.17           0.60            0.7268          0.2497          0.0234          0.0000          soil1          
10.00           0.57            0.7833          0.1989          0.0178          0.0000          soil1          
12.34           0.63            0.6594          0.3096          0.0310          0.0000          soil1          
10.33           0.62            0.6884          0.2856          0.0260          0.0000          soil1          
10.33           0.61            0.7214          0.2554          0.0231          0.0000          soil1          
10.41           0.59            0.7517          0.2277          0.0206          0.0000          soil1          
12.00           0.66            0.5858          0.3764          0.0377          0.0000          soil1          
12.13           0.64            0.6250          0.3410          0.0340          0.0000          soil1          
11.23           0.65            0.6095          0.3561          0.0343          0.0000          soil1          
10.52           0.65            0.6106          0.3560          0.0333          0.0000          soil1          
13.41           0.67            0.5219          0.4311          0.0470          0.0000          soil1          
11.91           0.69            0.4751          0.4756          0.0493          0.0000          soil2          
11.31           0.70            0.4543          0.4952          0.0505          0.0000          soil2          
11.65           0.69            0.4891          0.4636          0.0473          0.0000          soil1          
12.69           0.72            0.3686          0.5678          0.0635          0.0001          soil2          
