Test Points Classification Results
fs (kPa)        qE (MPa)        P(soil1)        P(soil2)        P(soil3)        P(soil4)        Max Prob Soil  
55.69           5.16            0.0000          0.0000          0.0000          1.0000          soil4          
49.96           5.72            0.0000          0.0000          0.0000          1.0000          soil4          
45.07           5.56            0.0000          0.0000          0.0000          1.0000          soil4          
40.19           5.39            0.0000          0.0000          0.0000          1.0000          soil4          
35.31           5.22            0.0000          0.0000          0.0000          1.0000          soil4          
30.43           5.06            0.0000          0.0000          0.0000          1.0000          soil4          
9.20            0.70            0.4365          0.5143          0.0491          0.0000          soil2          
10.46           0.64            0.6519          0.3187          0.0294          0.0000          soil1          
11.73           0.57            0.7668          0.2126          0.0206          0.0000          soil1          
12.99           0.51            0.8074          0.1735          0.0190          0.0000          soil1          
14.25           0.45            0.7947          0.1810          0.0243          0.0000          soil1          
14.66           0.27            0.5192          0.3784          0.1023          0.0001          soil1          
18.49           0.50            0.6554          0.2938          0.0507          0.0001          soil1          
17.18           0.43            0.6955          0.2584          0.0460          0.0000          soil1          
24.58           0.60            0.2565          0.5800          0.1632          0.0004          soil2          
31.41           0.78            0.0076          0.5892          0.4014          0.0018          soil2          
67.95           1.14            0.0000          0.0002          0.9302          0.0696          soil3          
25.00           0.58            0.2493          0.5760          0.1743          0.0004          soil2          
13.96           0.51            0.7899          0.1882          0.0219          0.0000          soil1          
16.49           0.55            0.7008          0.2638          0.0353          0.0000          soil1          
15.13           0.64            0.5790          0.3766          0.0444          0.0000          soil1          
18.14           0.73            0.2356          0.6600          0.1043          0.0001          soil2          
15.38           0.70            0.4045          0.5292          0.0663          0.0001          soil2          
20.15           0.72            0.2176          0.6618          0.1205          0.0002          soil2          
18.19           0.77            0.1376          0.7367          0.1254          0.0002          soil2          
16.19           0.62            0.6017          0.3536          0.0446          0.0000          soil1          
12.27           0.51            0.8184          0.1643          0.0173          0.0000          soil1          
13.54           0.58            0.7413          0.2337          0.0250          0.0000          soil1          
11.86           0.51            0.8215          0.1620          0.0165          0.0000          soil1          
11.07           0.51            0.8318          0.1531          0.0150          0.0000          soil1          
11.31           0.54            0.8119          0.1715          0.0166          0.0000          soil1          
11.75           0.55            0.7988          0.1832          0.0180          0.0000          soil1          
12.30           0.57            0.7626          0.2159          0.0215          0.0000          soil1          
12.94           0.55            0.7820          0.1972          0.0207          0.0000          soil1          
12.94           0.52            0.8052          0.1757          0.0191          0.0000          soil1          
12.77           0.54            0.7948          0.1857          0.0195          0.0000          soil1          
13.75           0.57            0.7491          0.2262          0.0247          0.0000          soil1          
14.29           0.58            0.7260          0.2464          0.0276          0.0000          soil1          
14.44           0.57            0.7359          0.2371          0.0270          0.0000          soil1          
12.77           0.52            0.8057          0.1755          0.0188          0.0000          soil1          
12.71           0.54            0.7943          0.1862          0.0195          0.0000          soil1          
12.52           0.54            0.7941          0.1867          0.0192          0.0000          soil1          
12.66           0.47            0.8253          0.1567          0.0180          0.0000          soil1          
10.97           0.42            0.8465          0.1376          0.0159          0.0000          soil1          
11.11           0.42            0.8452          0.1387          0.0161          0.0000          soil1          
14.26           0.43            0.7888          0.1850          0.0263          0.0000          soil1          
12.67           0.37            0.7924          0.1806          0.0270          0.0000          soil1          
12.50           0.42            0.8224          0.1574          0.0202          0.0000          soil1          
14.25           0.56            0.7481          0.2263          0.0256          0.0000          soil1          
12.31           0.59            0.7320          0.2438          0.0242          0.0000          soil1          
12.31           0.57            0.7704          0.2087          0.0209          0.0000          soil1          
12.51           0.61            0.7039          0.2691          0.0270          0.0000          soil1          
15.35           0.70            0.4071          0.5270          0.0658          0.0001          soil2          
15.21           0.70            0.4098          0.5251          0.0650          0.0001          soil2          
14.81           0.72            0.3323          0.5933          0.0743          0.0001          soil2          
14.35           0.73            0.3275          0.5990          0.0735          0.0001          soil2          
17.03           0.81            0.0841          0.7817          0.1340          0.0002          soil2          
17.20           0.83            0.0579          0.7965          0.1454          0.0002          soil2          
16.29           0.84            0.0439          0.8087          0.1471          0.0002          soil2          
17.50           0.81            0.0751          0.7847          0.1401          0.0002          soil2          
16.45           0.84            0.0487          0.8057          0.1454          0.0002          soil2          
19.90           0.91            0.0075          0.7719          0.2201          0.0005          soil2          
18.23           0.89            0.0149          0.7970          0.1878          0.0003          soil2          
19.25           0.94            0.0030          0.7558          0.2406          0.0005          soil2          
19.08           0.95            0.0026          0.7533          0.2435          0.0005          soil2          
22.17           1.02            0.0002          0.6414          0.3572          0.0011          soil2          
20.80           0.99            0.0006          0.6913          0.3073          0.0008          soil2          
20.85           0.98            0.0010          0.7058          0.2925          0.0008          soil2          
21.00           1.00            0.0005          0.6816          0.3171          0.0009          soil2          
24.96           1.01            0.0002          0.5951          0.4031          0.0015          soil2          
23.55           1.01            0.0002          0.6238          0.3746          0.0013          soil2          
22.20           1.00            0.0005          0.6682          0.3303          0.0010          soil2          
22.10           1.01            0.0003          0.6482          0.3504          0.0011          soil2          
22.80           1.01            0.0003          0.6359          0.3627          0.0012          soil2          
24.40           1.09            0.0000          0.4994          0.4985          0.0021          soil2          
22.19           1.02            0.0002          0.6362          0.3625          0.0011          soil2          
21.45           1.01            0.0004          0.6685          0.3302          0.0009          soil2          
21.83           1.05            0.0001          0.6085          0.3901          0.0013          soil2          
22.66           1.06            0.0001          0.5802          0.4183          0.0015          soil2          
21.91           1.04            0.0001          0.6129          0.3857          0.0012          soil2          
23.26           1.00            0.0003          0.6402          0.3583          0.0012          soil2          
19.46           0.92            0.0053          0.7682          0.2260          0.0005          soil2          
20.32           1.04            0.0001          0.6448          0.3541          0.0010          soil2          
21.88           1.05            0.0001          0.5982          0.4004          0.0013          soil2          
23.17           1.06            0.0001          0.5677          0.4307          0.0016          soil2          
28.38           1.15            0.0000          0.3297          0.6661          0.0042          soil3          
24.05           1.07            0.0000          0.5390          0.4592          0.0018          soil2          
25.03           1.11            0.0000          0.4488          0.5486          0.0026          soil3          
25.59           1.18            0.0000          0.3379          0.6584          0.0037          soil3          
25.99           1.20            0.0000          0.2947          0.7010          0.0043          soil3          
26.39           1.18            0.0000          0.3134          0.6825          0.0041          soil3          
26.26           1.24            0.0000          0.2200          0.7746          0.0054          soil3          
24.84           1.23            0.0000          0.2582          0.7372          0.0045          soil3          
23.95           1.19            0.0000          0.3474          0.6493          0.0033          soil3          
25.16           1.20            0.0000          0.3073          0.6887          0.0040          soil3          
28.38           1.28            0.0000          0.1466          0.8459          0.0075          soil3          
30.77           1.27            0.0000          0.1316          0.8597          0.0087          soil3          
29.06           1.30            0.0000          0.1257          0.8660          0.0084          soil3          
32.30           1.35            0.0000          0.0609          0.9264          0.0127          soil3          
28.32           1.28            0.0000          0.1504          0.8422          0.0074          soil3          
30.31           1.33            0.0000          0.0867          0.9029          0.0103          soil3          
39.11           1.48            0.0000          0.0080          0.9634          0.0286          soil3          
41.91           1.50            0.0000          0.0047          0.9606          0.0347          soil3          
30.66           1.30            0.0000          0.1114          0.8793          0.0094          soil3          
31.80           1.28            0.0000          0.1171          0.8734          0.0095          soil3          
44.39           1.51            0.0000          0.0029          0.9563          0.0408          soil3          
25.44           1.16            0.0000          0.3698          0.6268          0.0033          soil3          
24.46           1.21            0.0000          0.3007          0.6953          0.0039          soil3          
28.95           1.41            0.0000          0.0470          0.9406          0.0125          soil3          
34.95           1.27            0.0000          0.0884          0.8998          0.0118          soil3          
28.36           1.20            0.0000          0.2470          0.7476          0.0054          soil3          
24.39           1.14            0.0000          0.4147          0.5825          0.0028          soil3          
41.85           1.54            0.0000          0.0028          0.9574          0.0398          soil3          
39.16           1.20            0.0000          0.0870          0.9000          0.0130          soil3          
41.13           1.41            0.0000          0.0123          0.9615          0.0262          soil3          
47.01           1.57            0.0000          0.0010          0.9443          0.0547          soil3          
50.53           2.13            0.0000          0.0000          0.6160          0.3840          soil3          
46.41           1.79            0.0000          0.0001          0.8912          0.1088          soil3          
46.45           1.86            0.0000          0.0000          0.8601          0.1399          soil3          
46.37           1.82            0.0000          0.0000          0.8803          0.1197          soil3          
19.77           0.80            0.0746          0.7690          0.1561          0.0003          soil2          
36.99           4.18            0.0000          0.0000          0.0000          1.0000          soil4          
42.75           5.80            0.0000          0.0000          0.0000          1.0000          soil4          
51.96           1.39            0.0000          0.0023          0.9529          0.0447          soil3          
31.46           0.99            0.0001          0.4527          0.5440          0.0032          soil3          
25.66           0.92            0.0022          0.6696          0.3271          0.0011          soil2          
